,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
22010001,4.162,0.0,1.07,0.001,0.0,1.1340000000000001,0.508,1.546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23110175,0.49200000000000005,0.9219999999999999,0.33399999999999996,0.368,0.0,0.0,0.23,0.204,2.47,0.0,0.442,0.0,0.48200000000000004,0.0,0.0,0.0,0.0,0.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22101000,3.018,0.43,0.0,0.0,1.2359999999999998,2.098,0.0,1.086,1.22,0.0,1.566,0.0,1.644,0.34600000000000003,1.5699999999999998,2.606,0.978,1.004,0.774,0.124,2.088,2.18,2.4,0.0,0.0,0.0
22103000,2.3,0.0,0.0,0.66,0.78,0.0,0.6940000000000001,0.546,0.978,0.8959999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22172006,1.016,0.0,0.002,0.0,0.0,0.508,0.0,0.252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.256,0.0,0.0,0.252,0.0,0.0,0.0,0.0,0.0,0.0
22172010,0.638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23110006,163.0,130.0,356.0,130.0,255.0,65.0,0.0,195.0,283.0,75.0,143.0,278.0,242.0,7.5,263.0,217.8,68.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22711000,3.024,1.242,0.0,0.0,0.0,0.0,0.442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22702005,0.23199999999999998,0.0,0.774,0.0,0.34600000000000003,0.0,0.33799999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28600000000000003,0.584,0.0,0.0,0.0,0.0,0.0,0.28800000000000003,0.218,0.41200000000000003,0.818
27410002,7.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,7.0,1.0,2.0,3.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,0.0,2.0
22713002,2.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22713007,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23131002,0.004,0.003,0.002,0.003,0.003,0.001,0.002,0.004,0.003,0.002,0.003,0.005,0.003,0.004,0.006,0.004,0.0,0.002,0.002,0.006,0.008,0.002,0.002,0.003,0.002,0.002
22008012,8.934,0.0,0.758,3.5039999999999996,0.0,0.312,0.47,1.8519999999999999,2.16,0.0,2.39,9.212,2.04,6.340000000000001,5.5600000000000005,0.0,9.186,3.564,3.508,0.0,0.0,0.382,0.0,0.304,0.0,0.0
22007005,3.2119999999999997,0.318,0.0,0.996,0.0,0.0,0.622,0.726,0.003,0.0,0.452,0.663,0.0,0.0,0.5479999999999999,1.12,0.716,0.0,0.0,0.43,0.0,0.0,0.7240000000000001,0.0,0.0,0.0
27400289,0.189,0.001,0.001,0.373,0.0,0.0,0.05,0.05,0.39399999999999996,0.0,0.0,0.0,0.0,0.091,0.0,0.136,0.0,0.093,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.052000000000000005
22103013,0.28800000000000003,0.0,0.21,0.946,0.0,0.0,0.0,0.48,0.0,0.348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.606,0.0,0.0,0.0,0.0,0.584,0.0,0.0
23113027,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,2.0,2.0,3.0,0.0,1.0,1.0,2.0,3.0,3.0
27410045,0.302,0.6519999999999999,0.862,1.0859999999999999,0.422,0.46,0.256,0.0,0.35,0.26,0.596,0.612,0.0,0.0,0.522,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22710009,3.4380000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22035013,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22020001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.812,0.0,0.0,0.0,2.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22180003,0.9540000000000001,0.0,0.43799999999999994,0.0,0.0,0.0,0.0,0.696,0.632,0.36200000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23132061,0.002,0.0,0.004,0.010000000000000002,0.001,0.002,0.006,0.003,0.004,0.001,0.002,0.0,0.002,0.003,0.009000000000000001,0.0,0.002,0.005,0.001,0.003,0.002,0.0,0.001,0.0,0.003,0.003
27002167,0.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.258,0.264,0.0,0.0,0.272,0.556,0.266,0.0,0.0,0.784,0.0,0.0,0.262,0.0
